,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
yoruba,1898.8159179665254,2163.8751491655416,2381.210156030748,2033.5997004565636,2044.5389873753845,2344.6938101211176,2372.5466839074284,2337.97817206863,2216.1174886896706,2235.2450185679954,2194.469743464988,2254.4869745532264,2340.0210005745603,2325.520497688475,2157.6863142183784,2286.860390243435,2225.6752967277826,2270.7540410058127,2056.1667909230787,2097.2088272896967,2150.0026119830345,2144.7454482785674,2191.146479477913,2174.5207830515,0.0,2224.9215142195894,2216.926819706142,2002.5860607491193,2251.4006413886336,1984.8173454603939,2150.168437195878,2270.1358447075063,2486.4002700975416,2344.370295838803,2075.332628217843,2272.3600250653535,2275.6659138411956,2156.3838660229185,2050.4725458575467,2095.315180547565,2165.1351444358643,2096.9837419678292,1987.4494280471754,2074.0160302024415,2188.2162677649267,2366.3650187541703,2183.510037679746,2108.483555368783,2055.3307403558124
amharic,1969.455999646368,2057.9173651420438,2117.773272115857,2035.275152976161,2036.8739271106883,2357.7572475680577,2157.389071015722,2250.583019522615,2005.8862297338449,2184.7916174681,2050.4012668355313,2189.4362962636455,2219.3539407606822,2088.9014503775084,2002.5894694945564,2327.0175539954703,2076.2049073462845,2109.121420409414,1954.2341324052643,2053.195123056709,2122.257142502574,1942.4580088282332,2183.190242003097,2101.0211189438496,2224.9215142195894,0.0,1914.219173532756,2036.553315309716,2079.0024588955494,2001.2864557036032,2077.3759354088415,2196.792107311627,2361.2164172176444,2218.791480383894,1999.2822435590197,2093.841018157774,2228.028215491252,2070.590810013808,2076.892587633283,2074.596427940447,2143.0484470695133,2040.7915552490254,2030.1876133162093,2079.196351835339,2091.5575605245253,2241.802839523302,2236.2113466578326,1943.7141334812427,2033.9929372320746
georgian,1878.4441366002566,1945.7292662279,1994.7541406730872,1922.5045544910572,1913.0141141495649,2344.0924659765833,1958.6392544764974,2110.0647359539266,1944.0311693586077,2109.4370783901886,2081.122685310932,2124.7451444660087,2145.497853628598,2041.3973762768242,1996.9576743221817,2234.248740284038,2011.2782079157835,1970.7643909470662,1827.1525067017656,1883.8249854400622,1957.0316955288986,1820.7766901903688,2062.09263936005,1982.3166944179923,2216.926819706142,1914.219173532756,0.0,1856.179986423605,1881.4389219665422,1945.2284926943048,2084.880189466408,2089.5538777644265,2306.8354983168992,2046.6859866638097,1809.4739002521726,1902.4196452208132,2164.325752257056,1989.9412299912203,1868.7080312438263,1913.7640259364741,1976.0161119478607,1885.6196419757082,1921.4487128208814,2004.0274723761154,1951.8048520379702,1972.0979760765197,2133.8225084912133,1976.3880789573652,1942.8361400665076
italian,1048.7054900884264,1595.370682455186,2226.8287745059397,939.3909888604198,804.991662001806,2285.7658012660368,1874.2183415732582,2107.360682553297,1860.2114853976582,2063.8047152859576,2126.5061931645623,1831.0008869562753,1990.4765579157547,2072.6820155066753,1780.371854525835,2200.8941347380237,2006.5915357966974,1952.5445616764289,1571.614134735242,1545.9887023222213,1669.3696528242428,1768.2689688922458,1978.6997886256756,1841.3369823055455,2002.5860607491193,2036.553315309716,1856.179986423605,0.0,2048.286536259124,1551.9372201141907,2142.481285620348,2098.191122671632,2352.35989678302,2171.3235009413957,1044.8256803438928,2032.8424128579445,2183.448451286289,1623.246010702623,831.0591886525609,1588.2011344651546,1701.8231267710012,1234.9043833674962,1592.3913381520915,1784.5515208667568,1640.066415387162,2105.1954865205676,1992.0367496111567,1834.9503548922928,1268.497058902112
uzbek,2021.2955521538352,2169.9579493444385,2050.1568931925517,2109.20223274747,2029.7873306842596,2357.654440088073,2055.7780012708217,2150.7403127448993,2155.4344538910764,2132.1240397065576,2107.281955710789,2182.8588746586374,2234.1548123287707,1857.158765196917,2024.5689462478294,2310.3565819960877,2155.756232503959,2092.5748339112224,2035.2886317506916,2007.2356668524244,2103.0871253161945,1953.5247036597293,2177.945325504108,2103.9606397731955,2251.4006413886336,2079.0024588955494,1881.4389219665422,2048.286536259124,0.0,2003.025107158849,2132.722644068943,2182.2244600525178,2312.617411550004,2025.9863269628522,2025.4466358254897,1988.8061937451332,2149.5682407701906,2153.16684424021,2038.8412424480177,2131.2543623258243,2085.5514039752134,2039.646271489943,2042.9729636019986,2104.124307388627,2175.7111296230205,2159.801946642178,2206.1186774658067,2057.372605949237,2095.417118054894
irish,1229.9674597608125,1798.686795181063,2150.2340224691166,1561.61747195368,1617.2034832855477,2280.6086741031663,2070.13997736952,2022.8653283636595,1963.6986345690082,2070.6571977369144,2043.9802214603358,2024.2646223611243,2111.598549343236,2134.1487105064457,1983.1407373331353,2220.7768168374723,1934.0886017014984,2032.9045792999432,1774.1292329714252,1792.9380177628018,1865.279677285041,1892.057314350189,1956.8500390921936,1851.1475292708587,1984.8173454603939,2001.2864557036032,1945.2284926943048,1551.9372201141907,2003.025107158849,0.0,1979.3571381248119,2047.4691921444673,2229.546006278425,2090.0777735175043,1593.7827078355008,1865.4664590580112,2062.9719640602198,1814.734156350451,1594.9198388154514,1768.2525342146396,1926.3595122141842,1666.8290787159608,1518.1585362333303,1843.8473026509819,1907.2383332601198,2085.274499418219,1855.649086098663,1856.8857654739902,1681.6151616956645
hausa,2063.347640164401,2327.307954109288,1972.520048976589,2218.5857408447628,2116.5328821354447,2354.7798602235866,2383.579560663825,1989.2028807879626,2047.6021860677843,2218.635763670213,1927.0840343854488,2312.240456648017,2401.75140247291,2216.1773290890987,2215.418547729156,2359.4719214897077,1972.2487161290517,2123.4167269797413,1958.427187121783,2172.407039704923,2134.281740918659,2077.930092240091,2155.8106813027393,1898.0673396422521,2150.168437195878,2077.3759354088415,2084.880189466408,2142.481285620348,2132.722644068943,1979.3571381248119,0.0,2003.08899859381,2241.6746208856403,2259.3450574694784,2103.9515753153223,1797.8696706135436,1945.7094287048592,2322.16640223416,2119.558963850426,2271.28231998029,2328.5788280294582,2163.2845571574526,1912.8782076748705,2015.094160725261,2303.2934861386525,2180.97894172041,2090.2995793503337,2158.1043581656018,2184.618640666888
maori,2120.9694822023243,2242.6076973993395,2136.0490220738047,2191.314718065129,2103.1275326231766,2338.1312737762883,2310.369628613376,2037.8003659754431,2055.1603425148664,2118.0809536240195,2060.813997944915,2325.9516389725964,2361.332177530623,2295.122020218471,2124.8333227589605,2364.6420642256103,2015.0049771695185,2070.7700799997347,1929.978119111659,2162.507500112228,2127.8581351782796,2084.4260163027348,2166.3499080886295,1929.8325299106502,2270.1358447075063,2196.792107311627,2089.5538777644265,2098.191122671632,2182.2244600525178,2047.4691921444673,2003.08899859381,0.0,2189.497131589807,2205.4328170939443,2100.9197934319914,1864.2388134211083,2185.5843664475997,2210.924694588632,2103.855135524257,2254.387136815219,2301.6649731751004,2163.9595586947435,1981.5466879635703,2019.4920654952816,2235.3390489008275,2131.720985938406,2074.9452307426172,2182.418879486942,2192.672630590515
thai,2291.2305944064433,2293.604281266633,2251.0724882653526,2377.8654732050154,2308.1921126022235,2329.1306393098102,2381.1608863520332,2183.181776270466,2102.2887864917816,2296.075031789196,2260.521472550368,2373.917743889632,2446.767953384121,2380.1352352166746,2365.0914148715965,2420.049969447782,2239.382575725854,2311.2589101338717,2246.028105905986,2358.342461096206,2309.4799436829853,2272.114197566828,2281.75512173487,2118.6729974986474,2486.4002700975416,2361.2164172176444,2306.8354983168992,2352.35989678302,2312.617411550004,2229.546006278425,2241.6746208856403,2189.497131589807,0.0,2278.6882855870217,2299.069703091769,2172.4648584115603,2275.0877681641014,2363.5868696469342,2317.647974535491,2342.1809323094726,2419.66775757865,2331.501370554518,2194.487105620267,2131.0829115489755,2344.670611974385,2270.515748171468,1998.413808993905,2284.649989497681,2321.198755954755
mongolian,2157.2072503694694,2168.373623572463,2211.7151314235634,2224.681285003432,2145.4585506190306,2358.3991792585657,2205.1945612732056,2198.9354571052886,2155.922785542969,2190.258184265831,2204.721113741742,2325.8627015634725,2291.3698862455753,2126.3695565073363,2212.598273844648,2276.8608228637254,2212.0474560481243,2184.252720272705,2075.6733140382566,2173.8927136517805,2144.7940644497417,2128.976686126668,2221.347202299117,2071.8464991044616,2344.370295838803,2218.791480383894,2046.6859866638097,2171.3235009413957,2025.9863269628522,2090.0777735175043,2259.3450574694784,2205.4328170939443,2278.6882855870217,0.0,2178.672296210539,2123.720027034103,2256.3667472368406,2195.1636589511254,2155.72409293424,2166.752189712975,2246.8804764391816,2186.888315360562,2170.4822155871725,2103.635374567975,2254.1852330167326,2179.2131154525377,2190.097610169141,2256.1664308482455,2297.7254822940718
